_id,algoname,clientID,symbol,realised,unrealised,sum,balance
655d79830bc4ecf4b936e47b,MagicRS,D7730022,BANKNIFTY30NOV2343600PE,-10881,0,-10881,650000
655d79830bc4ecf4b936e47c,MagicRS,D0151150,BANKNIFTY30NOV2343600PE,-5385,0,-5385,900000
655d79830bc4ecf4b936e47d,MagicRS,D8460004,BANKNIFTY30NOV2343600PE,-5383.5,0,-5383.5,600000
655d79830bc4ecf4b936e47e,MagicRS,D9550012,BANKNIFTY30NOV2343600PE,-5385.3,0,-5385.3,3000000
655d79830bc4ecf4b936e47f,MagicRS,D9550019,BANKNIFTY30NOV2343600PE,-2716.5,0,-2716.5,600000
655d79830bc4ecf4b936e480,MagicRS,D8460002,BANKNIFTY30NOV2343600PE,-5394,0,-5394,2700000
655d79830bc4ecf4b936e481,MagicRS,D7730021,BANKNIFTY30NOV2343600PE,-5385,0,-5385,1000000
655d79830bc4ecf4b936e482,MagicRS,D9550018,BANKNIFTY30NOV2343600PE,-2721,0,-2721,600000
655d79830bc4ecf4b936e483,MagicRS,D9550002,BANKNIFTY30NOV2343600PE,-5437.5,0,-5437.5,2400000
655d79830bc4ecf4b936e484,MagicRS,D9550005,BANKNIFTY30NOV2343600PE,-5392.2,0,-5392.2,1000000
655d79830bc4ecf4b936e485,MagicRS,D7730010,BANKNIFTY30NOV2343600PE,-2717.25,0,-2717.25,600000
655d79830bc4ecf4b936e486,MagicRS,D9550006,BANKNIFTY30NOV2343600PE,-5392.95,0,-5392.95,900000
655d79830bc4ecf4b936e487,MagicRS,D9550011,BANKNIFTY30NOV2343600PE,-2724.75,0,-2724.75,600000
655d79830bc4ecf4b936e488,MagicRS,D7730012,BANKNIFTY30NOV2343600PE,-5442.75,0,-5442.75,600000
655d79830bc4ecf4b936e489,MagicRS,D8460005,BANKNIFTY30NOV2343600PE,-5394,0,-5394,1400000
655d79830bc4ecf4b936e48a,MagicRS,D9550016,BANKNIFTY30NOV2343600PE,-5406,0,-5406,1600000
655d79830bc4ecf4b936e48b,MagicRS,D8460003,BANKNIFTY30NOV2343600PE,-5394,0,-5394,900000
655d79830bc4ecf4b936e48c,MTRS_2C,D8460002,BANKNIFTY30NOV2343600PE,-5313.45,0,-5313.45,2700000
655d79830bc4ecf4b936e48d,MTRS_3C,B1700057,BANKNIFTY30NOV2343600PE,-5299.5,0,-5299.5,5000000
655d79830bc4ecf4b936e48e,MTRS_3C,D8460002,BANKNIFTY30NOV2343600PE,-5322,0,-5322,2700000
655d79b90bc4ecf4b936e48f,GRB,B1700057,BANKNIFTY30NOV2343500PE,-2313.75,0,-2313.75,5000000
655d79b90bc4ecf4b936e490,GRB,D9550016,BANKNIFTY30NOV2343500PE,-2318.25,0,-2318.25,1600000
655d79b90bc4ecf4b936e491,NDST_N,B1700057,NIFTY23NOV2319850CE,0,1272.5,1272.5,5000000
655d79b90bc4ecf4b936e492,NDST_N,B1700057,NIFTY23NOV2319750PE,-815,0,-815,5000000
655d79f80bc4ecf4b936e493,DOZ_BN,D9550012,BANKNIFTY22NOV2343200PE,0,13704,13704,3000000
655d79f80bc4ecf4b936e494,DOZ_BN,D9550016,BANKNIFTY22NOV2343200PE,0,13664.4,13664.4,1600000
655d79f80bc4ecf4b936e495,DRB_BN,D7730022,BANKNIFTY30NOV2341500PE,0,0,0,650000
655d79f80bc4ecf4b936e496,DRB_BN,D8460002,BANKNIFTY30NOV2341500PE,0,0,0,2700000
